order_id,product,product_description,origin,destination,shipping_mode,order_date,delay_days,customer_review
ORD148P0TV,Shoes,Shoes shipped via Sea from Kano to Abuja,Kano,Abuja,Sea,2025-03-22,4,poor handling caused delay
ORDBMYOFQE,Monitor,Monitor shipped via Express from Ibadan to Lagos,Ibadan,Lagos,Express,2025-08-29,3,delivery slower than expected
ORDXDP5GJL,Camera,Camera shipped via Express from Port Harcourt to Port Harcourt,Port Harcourt,Port Harcourt,Express,2024-10-11,2,tracking updates were helpful
ORDJCAT9MX,Smartphone,Smartphone shipped via Road from Lagos to Abuja,Lagos,Abuja,Road,2024-01-21,2,delivery slower than expected
ORDFEYUHZ1,Headphones,Headphones shipped via Air from Ibadan to Ibadan,Ibadan,Ibadan,Air,2024-06-16,0,late delivery caused frustration
ORDDALY8OZ,Laptop,Laptop shipped via Air from Ibadan to Abuja,Ibadan,Abuja,Air,2025-12-14,1,late delivery caused frustration
ORD4VE92MP,Watch,Watch shipped via Sea from Lagos to Ibadan,Lagos,Ibadan,Sea,2024-01-13,2,tracking updates were helpful
ORD3D8W3ZP,Keyboard,Keyboard shipped via Express from Port Harcourt to Ibadan,Port Harcourt,Ibadan,Express,2025-04-21,5,tracking updates were helpful
ORD3VLI7KQ,Camera,Camera shipped via Express from Ibadan to Ibadan,Ibadan,Ibadan,Express,2024-12-10,3,fast delivery and great service
ORDRLRMJKV,Backpack,Backpack shipped via Road from Ibadan to Lagos,Ibadan,Lagos,Road,2024-03-28,0,excellent logistics experience
ORDZR1YXR2,Laptop,Laptop shipped via Express from Port Harcourt to Abuja,Port Harcourt,Abuja,Express,2025-12-09,3,excellent logistics experience
ORDLURTP0L,Camera,Camera shipped via Sea from Port Harcourt to Port Harcourt,Port Harcourt,Port Harcourt,Sea,2024-08-24,2,delayed shipment due to weather
ORDZL08YG0,Backpack,Backpack shipped via Sea from Ibadan to Ibadan,Ibadan,Ibadan,Sea,2024-04-12,1,excellent logistics experience
ORDKMKZEBB,Backpack,Backpack shipped via Air from Abuja to Kano,Abuja,Kano,Air,2024-01-13,4,delivery slower than expected
ORDKRM8J5E,Laptop,Laptop shipped via Air from Kano to Kano,Kano,Kano,Air,2025-08-13,5,fast delivery and great service
ORDF38DIUO,Monitor,Monitor shipped via Express from Ibadan to Abuja,Ibadan,Abuja,Express,2025-04-06,4,poor handling caused delay
ORDKVPUC8D,Shoes,Shoes shipped via Air from Abuja to Port Harcourt,Abuja,Port Harcourt,Air,2024-06-09,1,excellent logistics experience
ORDGCAQVKI,Backpack,Backpack shipped via Road from Kano to Lagos,Kano,Lagos,Road,2024-09-27,2,delivery slower than expected
ORDX7PTX63,Laptop,Laptop shipped via Sea from Lagos to Abuja,Lagos,Abuja,Sea,2025-09-01,3,delivery slower than expected
ORD7PQKOJT,Camera,Camera shipped via Air from Lagos to Ibadan,Lagos,Ibadan,Air,2025-03-18,4,on time and well packaged
ORDVAIY4VA,Backpack,Backpack shipped via Road from Ibadan to Lagos,Ibadan,Lagos,Road,2025-04-26,2,smooth and fast shipping process
ORDX6GVWRD,Watch,Watch shipped via Sea from Kano to Port Harcourt,Kano,Port Harcourt,Sea,2025-11-17,2,delayed shipment due to weather
ORD4LYK83T,Camera,Camera shipped via Sea from Lagos to Port Harcourt,Lagos,Port Harcourt,Sea,2024-11-27,0,delayed shipment due to weather
ORD8OS9XTO,Shoes,Shoes shipped via Express from Ibadan to Port Harcourt,Ibadan,Port Harcourt,Express,2025-10-02,0,poor handling caused delay
ORD1HT7PZE,Monitor,Monitor shipped via Sea from Abuja to Abuja,Abuja,Abuja,Sea,2025-07-18,4,fast delivery and great service
ORDTD96QE3,Camera,Camera shipped via Sea from Port Harcourt to Ibadan,Port Harcourt,Ibadan,Sea,2025-03-01,5,poor handling caused delay
ORD9ITN7S5,Laptop,Laptop shipped via Sea from Port Harcourt to Kano,Port Harcourt,Kano,Sea,2025-06-03,2,late delivery caused frustration
ORD3KKV9RF,Keyboard,Keyboard shipped via Sea from Kano to Port Harcourt,Kano,Port Harcourt,Sea,2025-07-19,5,smooth and fast shipping process
ORDN759IN4,Tablet,Tablet shipped via Express from Lagos to Port Harcourt,Lagos,Port Harcourt,Express,2025-12-23,3,tracking updates were helpful
ORDNX39RBS,Monitor,Monitor shipped via Express from Port Harcourt to Lagos,Port Harcourt,Lagos,Express,2024-04-12,1,smooth and fast shipping process
ORD6AF58C2,Backpack,Backpack shipped via Express from Port Harcourt to Ibadan,Port Harcourt,Ibadan,Express,2025-10-27,3,delayed shipment due to weather
ORD444NLZ1,Keyboard,Keyboard shipped via Air from Lagos to Ibadan,Lagos,Ibadan,Air,2024-08-28,6,late delivery caused frustration
ORD90PDW5P,Backpack,Backpack shipped via Sea from Lagos to Lagos,Lagos,Lagos,Sea,2024-02-27,2,late delivery caused frustration
ORDMPIOYGG,Monitor,Monitor shipped via Road from Kano to Ibadan,Kano,Ibadan,Road,2025-05-24,6,delivery slower than expected
ORDFQJJA26,Keyboard,Keyboard shipped via Express from Abuja to Lagos,Abuja,Lagos,Express,2024-12-19,0,delivery slower than expected
ORDK8YQK94,Laptop,Laptop shipped via Sea from Abuja to Kano,Abuja,Kano,Sea,2025-08-11,4,late delivery caused frustration
ORD9K9XJUY,Smartphone,Smartphone shipped via Sea from Ibadan to Kano,Ibadan,Kano,Sea,2024-08-23,3,delivery slower than expected
ORD2HGJ11Y,Headphones,Headphones shipped via Sea from Lagos to Lagos,Lagos,Lagos,Sea,2025-03-27,2,fast delivery and great service
ORDU0DK0GE,Keyboard,Keyboard shipped via Sea from Port Harcourt to Ibadan,Port Harcourt,Ibadan,Sea,2024-06-17,3,late delivery caused frustration
ORD678K52Q,Laptop,Laptop shipped via Express from Abuja to Abuja,Abuja,Abuja,Express,2025-07-24,0,on time and well packaged
ORDDOJEN0J,Tablet,Tablet shipped via Road from Port Harcourt to Lagos,Port Harcourt,Lagos,Road,2025-04-27,2,fast delivery and great service
ORDW7LVXWQ,Backpack,Backpack shipped via Road from Kano to Lagos,Kano,Lagos,Road,2024-02-16,3,fast delivery and great service
ORDKRD5EQY,Keyboard,Keyboard shipped via Road from Kano to Ibadan,Kano,Ibadan,Road,2025-02-28,5,delayed shipment due to weather
ORD4W7KYHQ,Shoes,Shoes shipped via Sea from Port Harcourt to Lagos,Port Harcourt,Lagos,Sea,2025-07-11,1,on time and well packaged
ORDCJ883DH,Monitor,Monitor shipped via Sea from Lagos to Lagos,Lagos,Lagos,Sea,2024-09-06,1,package arrived damaged
ORD2H3TV3I,Headphones,Headphones shipped via Sea from Ibadan to Lagos,Ibadan,Lagos,Sea,2024-05-28,1,package arrived damaged
ORDT2D5EM2,Monitor,Monitor shipped via Road from Port Harcourt to Lagos,Port Harcourt,Lagos,Road,2024-09-28,4,fast delivery and great service
ORDEPECQNV,Camera,Camera shipped via Air from Ibadan to Abuja,Ibadan,Abuja,Air,2025-11-05,3,smooth and fast shipping process
ORDKXB94PD,Camera,Camera shipped via Sea from Lagos to Lagos,Lagos,Lagos,Sea,2025-09-14,1,package arrived damaged
ORDCJWTL9T,Camera,Camera shipped via Express from Ibadan to Ibadan,Ibadan,Ibadan,Express,2024-04-11,4,delayed shipment due to weather
ORD4X1ZHQI,Watch,Watch shipped via Express from Kano to Kano,Kano,Kano,Express,2024-04-07,3,on time and well packaged
ORDPXNF7C3,Laptop,Laptop shipped via Sea from Kano to Lagos,Kano,Lagos,Sea,2024-05-13,4,smooth and fast shipping process
ORDC8UYO57,Tablet,Tablet shipped via Sea from Lagos to Port Harcourt,Lagos,Port Harcourt,Sea,2024-12-26,1,delayed shipment due to weather
ORDUHXID4N,Backpack,Backpack shipped via Express from Ibadan to Abuja,Ibadan,Abuja,Express,2025-07-28,2,delivery slower than expected
ORDWXA73JG,Backpack,Backpack shipped via Air from Port Harcourt to Port Harcourt,Port Harcourt,Port Harcourt,Air,2024-07-04,2,package arrived damaged
ORDUOFWB0H,Tablet,Tablet shipped via Road from Kano to Port Harcourt,Kano,Port Harcourt,Road,2025-01-13,0,late delivery caused frustration
ORDZ1UDBFW,Laptop,Laptop shipped via Express from Port Harcourt to Kano,Port Harcourt,Kano,Express,2025-05-12,3,delivery slower than expected
ORDPJ1EPKY,Camera,Camera shipped via Air from Ibadan to Port Harcourt,Ibadan,Port Harcourt,Air,2024-08-13,3,tracking updates were helpful
ORD9BH811K,Laptop,Laptop shipped via Express from Lagos to Kano,Lagos,Kano,Express,2024-06-28,3,package arrived damaged
ORDNZS43C5,Smartphone,Smartphone shipped via Express from Kano to Lagos,Kano,Lagos,Express,2024-03-20,2,on time and well packaged
ORDUUZPEAL,Monitor,Monitor shipped via Air from Kano to Port Harcourt,Kano,Port Harcourt,Air,2025-03-23,0,delayed shipment due to weather
ORDIVSOLML,Headphones,Headphones shipped via Air from Lagos to Ibadan,Lagos,Ibadan,Air,2025-06-27,2,smooth and fast shipping process
ORDG1M8XFD,Backpack,Backpack shipped via Road from Abuja to Abuja,Abuja,Abuja,Road,2025-11-02,2,delayed shipment due to weather
ORDG1R11Q7,Monitor,Monitor shipped via Sea from Ibadan to Port Harcourt,Ibadan,Port Harcourt,Sea,2024-06-03,1,poor handling caused delay
ORDCPKJCSL,Camera,Camera shipped via Sea from Lagos to Lagos,Lagos,Lagos,Sea,2024-10-20,2,delayed shipment due to weather
ORDX9DVNU8,Smartphone,Smartphone shipped via Road from Kano to Ibadan,Kano,Ibadan,Road,2024-11-25,3,delivery slower than expected
ORDRFCD6MZ,Keyboard,Keyboard shipped via Road from Abuja to Lagos,Abuja,Lagos,Road,2025-12-25,6,poor handling caused delay
ORD9SVN7N1,Monitor,Monitor shipped via Air from Lagos to Port Harcourt,Lagos,Port Harcourt,Air,2024-12-03,3,delayed shipment due to weather
ORDUNJ48VF,Laptop,Laptop shipped via Sea from Ibadan to Abuja,Ibadan,Abuja,Sea,2024-11-13,3,tracking updates were helpful
ORDEZDUXLE,Keyboard,Keyboard shipped via Sea from Lagos to Kano,Lagos,Kano,Sea,2024-01-19,2,on time and well packaged
ORDL8M1G9F,Backpack,Backpack shipped via Air from Lagos to Ibadan,Lagos,Ibadan,Air,2025-11-08,0,on time and well packaged
ORD5WVFGYW,Headphones,Headphones shipped via Express from Kano to Lagos,Kano,Lagos,Express,2025-01-08,2,excellent logistics experience
ORD8V12II8,Camera,Camera shipped via Express from Abuja to Port Harcourt,Abuja,Port Harcourt,Express,2025-04-17,3,late delivery caused frustration
ORD2SPFHV5,Smartphone,Smartphone shipped via Air from Kano to Port Harcourt,Kano,Port Harcourt,Air,2025-12-29,7,smooth and fast shipping process
ORD4K1J6FP,Shoes,Shoes shipped via Air from Kano to Port Harcourt,Kano,Port Harcourt,Air,2025-02-28,2,fast delivery and great service
ORDONNCILD,Watch,Watch shipped via Air from Abuja to Abuja,Abuja,Abuja,Air,2024-10-20,3,poor handling caused delay
ORDZEZQACJ,Headphones,Headphones shipped via Express from Ibadan to Ibadan,Ibadan,Ibadan,Express,2024-04-23,2,late delivery caused frustration
ORDIEIXWC4,Camera,Camera shipped via Air from Ibadan to Ibadan,Ibadan,Ibadan,Air,2025-10-09,0,smooth and fast shipping process
ORDUZKAMUG,Laptop,Laptop shipped via Air from Ibadan to Port Harcourt,Ibadan,Port Harcourt,Air,2025-06-22,5,smooth and fast shipping process
ORDS9TOQW9,Backpack,Backpack shipped via Air from Lagos to Port Harcourt,Lagos,Port Harcourt,Air,2024-12-19,4,excellent logistics experience
ORD0W10LBT,Headphones,Headphones shipped via Road from Kano to Kano,Kano,Kano,Road,2024-05-18,4,delayed shipment due to weather
ORDZ7BH25L,Backpack,Backpack shipped via Express from Ibadan to Kano,Ibadan,Kano,Express,2024-09-16,1,fast delivery and great service
ORD1GM25LE,Watch,Watch shipped via Express from Kano to Kano,Kano,Kano,Express,2025-01-30,5,on time and well packaged
ORD9RR7S20,Laptop,Laptop shipped via Road from Kano to Ibadan,Kano,Ibadan,Road,2025-07-12,0,late delivery caused frustration
ORDLCXLVPY,Watch,Watch shipped via Sea from Kano to Lagos,Kano,Lagos,Sea,2025-09-21,4,tracking updates were helpful
ORDJ98CWN2,Headphones,Headphones shipped via Express from Lagos to Abuja,Lagos,Abuja,Express,2024-02-05,7,package arrived damaged
ORDC2NNUVY,Watch,Watch shipped via Air from Port Harcourt to Kano,Port Harcourt,Kano,Air,2025-08-10,1,package arrived damaged
ORDTOXIE0R,Tablet,Tablet shipped via Sea from Ibadan to Lagos,Ibadan,Lagos,Sea,2024-09-23,1,poor handling caused delay
ORDHWY9HEC,Headphones,Headphones shipped via Sea from Kano to Lagos,Kano,Lagos,Sea,2025-11-14,3,on time and well packaged
ORDZTKKFZZ,Headphones,Headphones shipped via Road from Port Harcourt to Ibadan,Port Harcourt,Ibadan,Road,2024-05-04,1,excellent logistics experience
ORD2IRMUQ9,Headphones,Headphones shipped via Air from Ibadan to Lagos,Ibadan,Lagos,Air,2024-11-12,0,tracking updates were helpful
ORD9ZS13C9,Laptop,Laptop shipped via Sea from Kano to Kano,Kano,Kano,Sea,2024-05-11,3,smooth and fast shipping process
ORDXG8P6BE,Headphones,Headphones shipped via Road from Port Harcourt to Abuja,Port Harcourt,Abuja,Road,2024-11-26,0,excellent logistics experience
ORDM764JWT,Headphones,Headphones shipped via Air from Port Harcourt to Ibadan,Port Harcourt,Ibadan,Air,2025-05-29,3,package arrived damaged
ORDVUGW6M7,Smartphone,Smartphone shipped via Air from Lagos to Lagos,Lagos,Lagos,Air,2025-10-18,1,delivery slower than expected
ORDJHUWB6T,Backpack,Backpack shipped via Express from Kano to Abuja,Kano,Abuja,Express,2024-10-31,6,poor handling caused delay
ORDCCPRHVL,Watch,Watch shipped via Road from Port Harcourt to Kano,Port Harcourt,Kano,Road,2025-01-14,1,smooth and fast shipping process
ORDULQJIDK,Tablet,Tablet shipped via Road from Ibadan to Kano,Ibadan,Kano,Road,2024-06-12,2,on time and well packaged
ORD7ZGF9Q5,Camera,Camera shipped via Express from Lagos to Lagos,Lagos,Lagos,Express,2025-06-01,4,poor handling caused delay
ORD8HMBR5X,Camera,Camera shipped via Air from Port Harcourt to Ibadan,Port Harcourt,Ibadan,Air,2024-04-20,0,tracking updates were helpful
ORDEJNOBBU,Watch,Watch shipped via Air from Ibadan to Port Harcourt,Ibadan,Port Harcourt,Air,2025-01-30,3,smooth and fast shipping process
ORDQT3WVED,Watch,Watch shipped via Sea from Port Harcourt to Ibadan,Port Harcourt,Ibadan,Sea,2024-05-27,5,excellent logistics experience
ORDVOBBZ2S,Headphones,Headphones shipped via Road from Ibadan to Ibadan,Ibadan,Ibadan,Road,2024-12-01,0,delivery slower than expected
ORDLOW4VSS,Camera,Camera shipped via Express from Ibadan to Port Harcourt,Ibadan,Port Harcourt,Express,2024-01-18,3,on time and well packaged
ORDLDOL65W,Monitor,Monitor shipped via Road from Kano to Port Harcourt,Kano,Port Harcourt,Road,2024-02-22,3,delivery slower than expected
ORDRSZ1N3I,Monitor,Monitor shipped via Air from Lagos to Abuja,Lagos,Abuja,Air,2025-03-27,4,on time and well packaged
ORDPOHSWQ4,Smartphone,Smartphone shipped via Road from Abuja to Ibadan,Abuja,Ibadan,Road,2025-07-28,0,on time and well packaged
ORD9RN8QTT,Backpack,Backpack shipped via Road from Ibadan to Kano,Ibadan,Kano,Road,2024-09-09,0,late delivery caused frustration
ORDUI9KKHZ,Watch,Watch shipped via Sea from Kano to Port Harcourt,Kano,Port Harcourt,Sea,2024-10-21,4,delayed shipment due to weather
ORDUT6OM1F,Smartphone,Smartphone shipped via Sea from Port Harcourt to Lagos,Port Harcourt,Lagos,Sea,2025-03-28,3,late delivery caused frustration
ORD0H3JUJD,Monitor,Monitor shipped via Air from Abuja to Abuja,Abuja,Abuja,Air,2025-11-16,3,smooth and fast shipping process
ORDIIDLRYE,Keyboard,Keyboard shipped via Express from Abuja to Kano,Abuja,Kano,Express,2025-05-03,3,excellent logistics experience
ORD1KKC1XI,Smartphone,Smartphone shipped via Road from Abuja to Kano,Abuja,Kano,Road,2024-02-07,1,tracking updates were helpful
ORD2G05KBK,Monitor,Monitor shipped via Sea from Lagos to Port Harcourt,Lagos,Port Harcourt,Sea,2025-04-10,3,smooth and fast shipping process
ORDS6ESJ3L,Camera,Camera shipped via Air from Port Harcourt to Abuja,Port Harcourt,Abuja,Air,2024-12-11,3,late delivery caused frustration
ORDU1G463S,Laptop,Laptop shipped via Road from Kano to Lagos,Kano,Lagos,Road,2024-05-23,1,poor handling caused delay
ORDLIJI18K,Monitor,Monitor shipped via Sea from Lagos to Port Harcourt,Lagos,Port Harcourt,Sea,2025-12-10,6,excellent logistics experience
ORDCELOS6Z,Backpack,Backpack shipped via Sea from Lagos to Port Harcourt,Lagos,Port Harcourt,Sea,2025-09-21,3,excellent logistics experience
ORDHEF0VOT,Camera,Camera shipped via Road from Ibadan to Abuja,Ibadan,Abuja,Road,2025-11-27,0,delivery slower than expected
ORD5CQZCUC,Keyboard,Keyboard shipped via Road from Ibadan to Abuja,Ibadan,Abuja,Road,2024-06-17,4,on time and well packaged
ORD4PYZR6Q,Smartphone,Smartphone shipped via Express from Kano to Abuja,Kano,Abuja,Express,2025-04-12,1,delivery slower than expected
ORDCQ30O30,Monitor,Monitor shipped via Express from Lagos to Lagos,Lagos,Lagos,Express,2024-12-18,4,delayed shipment due to weather
ORDTC69QKG,Headphones,Headphones shipped via Express from Kano to Port Harcourt,Kano,Port Harcourt,Express,2025-04-04,5,tracking updates were helpful
ORDNYXTXMG,Keyboard,Keyboard shipped via Road from Kano to Ibadan,Kano,Ibadan,Road,2024-08-16,1,fast delivery and great service
ORD19QZPNI,Camera,Camera shipped via Sea from Port Harcourt to Abuja,Port Harcourt,Abuja,Sea,2024-07-12,4,delayed shipment due to weather
ORDBXW76IC,Monitor,Monitor shipped via Air from Lagos to Kano,Lagos,Kano,Air,2024-09-07,3,fast delivery and great service
ORDOIH5CSK,Monitor,Monitor shipped via Sea from Port Harcourt to Ibadan,Port Harcourt,Ibadan,Sea,2024-08-30,4,late delivery caused frustration
ORD59SOJUV,Headphones,Headphones shipped via Express from Kano to Ibadan,Kano,Ibadan,Express,2024-02-18,6,on time and well packaged
ORD7Y2LOFN,Keyboard,Keyboard shipped via Road from Kano to Abuja,Kano,Abuja,Road,2024-11-03,2,package arrived damaged
ORD36U8UEI,Shoes,Shoes shipped via Express from Port Harcourt to Lagos,Port Harcourt,Lagos,Express,2025-01-14,1,delayed shipment due to weather
ORDT3BNVBC,Monitor,Monitor shipped via Express from Ibadan to Abuja,Ibadan,Abuja,Express,2024-08-01,1,on time and well packaged
ORDK6HG001,Shoes,Shoes shipped via Express from Ibadan to Abuja,Ibadan,Abuja,Express,2024-09-02,1,smooth and fast shipping process
ORDLKQXLM5,Camera,Camera shipped via Sea from Lagos to Kano,Lagos,Kano,Sea,2024-07-27,2,on time and well packaged
ORDLB50ATV,Tablet,Tablet shipped via Road from Port Harcourt to Abuja,Port Harcourt,Abuja,Road,2024-12-03,3,excellent logistics experience
ORDN4RXYJ3,Camera,Camera shipped via Sea from Kano to Abuja,Kano,Abuja,Sea,2024-06-22,3,package arrived damaged
ORDZR7TXCB,Laptop,Laptop shipped via Express from Lagos to Lagos,Lagos,Lagos,Express,2024-05-20,4,excellent logistics experience
ORDCFHQCW7,Camera,Camera shipped via Air from Kano to Lagos,Kano,Lagos,Air,2025-06-28,3,smooth and fast shipping process
ORDOAZTKSZ,Tablet,Tablet shipped via Air from Abuja to Lagos,Abuja,Lagos,Air,2025-06-20,5,package arrived damaged
ORDIWJM2C8,Camera,Camera shipped via Road from Ibadan to Abuja,Ibadan,Abuja,Road,2024-11-03,2,delayed shipment due to weather
ORDX41DNTC,Smartphone,Smartphone shipped via Express from Abuja to Lagos,Abuja,Lagos,Express,2025-03-20,8,on time and well packaged
ORDU4DTBH5,Monitor,Monitor shipped via Air from Kano to Port Harcourt,Kano,Port Harcourt,Air,2024-03-17,4,late delivery caused frustration
ORD6UB7L8V,Tablet,Tablet shipped via Road from Lagos to Port Harcourt,Lagos,Port Harcourt,Road,2025-07-31,1,excellent logistics experience
ORDU4YTN02,Laptop,Laptop shipped via Air from Ibadan to Port Harcourt,Ibadan,Port Harcourt,Air,2024-04-10,0,tracking updates were helpful
ORDICVWV8L,Backpack,Backpack shipped via Road from Kano to Kano,Kano,Kano,Road,2024-12-30,3,smooth and fast shipping process
ORD7PYXDW2,Laptop,Laptop shipped via Road from Lagos to Port Harcourt,Lagos,Port Harcourt,Road,2025-01-24,2,package arrived damaged
ORD0LDALMJ,Headphones,Headphones shipped via Express from Lagos to Abuja,Lagos,Abuja,Express,2025-04-04,4,smooth and fast shipping process
ORDTOAMDVL,Tablet,Tablet shipped via Express from Lagos to Port Harcourt,Lagos,Port Harcourt,Express,2025-02-01,3,delayed shipment due to weather
ORD0U9ISYG,Backpack,Backpack shipped via Express from Port Harcourt to Port Harcourt,Port Harcourt,Port Harcourt,Express,2024-05-29,2,delayed shipment due to weather
ORDGJK2N7Z,Camera,Camera shipped via Road from Ibadan to Ibadan,Ibadan,Ibadan,Road,2025-04-13,1,delayed shipment due to weather
ORDEAO4N5P,Tablet,Tablet shipped via Sea from Ibadan to Abuja,Ibadan,Abuja,Sea,2024-11-24,0,delivery slower than expected
ORD8HL88KZ,Camera,Camera shipped via Sea from Ibadan to Abuja,Ibadan,Abuja,Sea,2025-01-20,2,late delivery caused frustration
ORD3OEUVTY,Keyboard,Keyboard shipped via Road from Lagos to Kano,Lagos,Kano,Road,2025-03-24,4,late delivery caused frustration
ORD3C42YFK,Backpack,Backpack shipped via Express from Abuja to Kano,Abuja,Kano,Express,2024-03-16,3,poor handling caused delay
ORD9ROS7YT,Watch,Watch shipped via Air from Ibadan to Ibadan,Ibadan,Ibadan,Air,2024-04-21,0,excellent logistics experience
ORDXMXB9YO,Watch,Watch shipped via Air from Kano to Lagos,Kano,Lagos,Air,2024-04-10,3,late delivery caused frustration
